id,name,terminalName,Y,longitude,installed,locked,installDate,temporary,available_bikes,empty_docks,total_docks
157,"Wright's Lane, Kensington",1094,51.50039792,-0.193068385,TRUE,FALSE,1.28E+12,0,8,28,37
156,"New Kent Road, Borough",966,51.49443626,-0.092921165,TRUE,FALSE,1.28E+12,0,9,23,33
161,"Guildhouse Street, Victoria",3478,51.49234577,-0.141334487,TRUE,FALSE,1.28E+12,0,4,11,16
162,"Southampton Place, Holborn",1123,51.51760685,-0.121328408,TRUE,FALSE,1.28E+12,0,19,1,20
163,"Sloane Avenue, Knightsbridge",3461,51.4931848,-0.167894973,TRUE,FALSE,1.28E+12,0,9,20,30
164,"Cleveland Gardens, Bayswater",1178,51.515607,-0.183118788,TRUE,FALSE,1.28E+12,0,0,16,16
165,"Orsett Terrace, Bayswater",2585,51.517932,-0.183716959,TRUE,FALSE,1.28E+12,0,0,15,15
166,"Seville Street, Knightsbridge",1177,51.50185512,-0.159237081,TRUE,FALSE,1.28E+12,0,25,1,27
167,"Eccleston Place, Victoria",3465,51.49395092,-0.147624377,TRUE,FALSE,-1,0,2,17,19
168,"Argyll Road, Kensington",3463,51.50040123,-0.195455928,TRUE,FALSE,1.28E+12,0,1,18,19
169,"Porchester Place, Paddington",3477,51.51474612,-0.165164288,TRUE,FALSE,1.28E+12,0,2,16,18
170,"Hardwick Street, Clerkenwell",1057,51.52784273,-0.108068155,TRUE,FALSE,1.28E+12,0,7,20,30
171,"Collingham Gardens, Earl's Court",3459,51.4916156,-0.186753859,TRUE,FALSE,1.28E+12,0,0,14,14
172,"Sumner Place, South Kensington",1124,51.49121192,-0.173715911,TRUE,FALSE,1.28E+12,0,13,6,19
174,"Strand, Strand",1100,51.512529,-0.115163,TRUE,FALSE,1.28E+12,0,33,0,36
173,"Waterloo Roundabout, Waterloo ",1176,51.50486,-0.113001,TRUE,FALSE,1.28E+12,0,1,12,15
176,"Gloucester Terrace, Bayswater",1173,51.51791921,-0.188098863,TRUE,FALSE,1.28E+12,0,6,17,23
177,"Ashley Place, Victoria",1122,51.49616092,-0.140947636,TRUE,FALSE,1.28E+12,0,8,15,25
178,"Warwick Square, Pimlico",3460,51.48985626,-0.141923621,TRUE,FALSE,1.28E+12,0,10,8,19
180,"North Audley Street, Mayfair",1126,51.5129118,-0.153645496,TRUE,FALSE,1.28E+12,0,11,6,17
181,"Belgrave Square, Belgravia",3473,51.49941247,-0.152317537,TRUE,FALSE,1.28E+12,0,21,0,21
182,"Bell Street , Marylebone",1166,51.52202903,-0.165842551,TRUE,FALSE,1.28E+12,0,0,17,18
183,"Milford Lane, Temple",1165,51.51201016,-0.112988179,TRUE,FALSE,1.28E+12,0,5,11,18
184,"Portland Place, Marylebone",1164,51.52071513,-0.14521173,TRUE,FALSE,1.28E+12,0,11,21,34
187,"Queen's Gate (South), South Kensington",1172,51.49247977,-0.178433004,TRUE,FALSE,1.28E+12,0,3,22,25
186,"South Wharf Road, Paddington",1167,51.51733558,-0.175810943,TRUE,FALSE,1.28E+12,0,1,12,16
185,"Alderney Street, Pimlico",1174,51.48805753,-0.140741432,TRUE,FALSE,1.28E+12,0,1,12,14
189,"Claremont Square, Angel",1104,51.53166681,-0.109914711,TRUE,FALSE,1.28E+12,0,0,18,18
188,"Nutford Place, Marylebone",1112,51.5165179,-0.164393768,TRUE,FALSE,1.28E+12,0,0,17,18
190,"Rampayne Street, Pimlico",1106,51.48997562,-0.132845681,TRUE,FALSE,1.28E+12,0,1,20,21
191,"Hyde Park Corner, Hyde Park",1075,51.50311799,-0.153520935,TRUE,FALSE,1.28E+12,1,13,13,28
200,"LMU Commercial Road, Whitechapel",1105,51.51492456,-0.066078037,TRUE,FALSE,1.28E+12,0,6,7,14
192,"Wardour Street, Soho",1163,51.51251523,-0.133201961,TRUE,FALSE,1.28E+12,0,15,0,16
199,"Great Tower Street, Monument",1080,51.51048489,-0.082989638,TRUE,FALSE,1.28E+12,0,20,2,24
193,"Bankside Mix, Bankside",963,51.50581776,-0.100186337,TRUE,FALSE,1.28E+12,0,57,3,60
194,"Hop Exchange, The Borough",960,51.50462759,-0.091773776,TRUE,FALSE,1.28E+12,0,45,3,56
195,"Milroy Walk, South Bank",959,51.50724437,-0.106237501,TRUE,FALSE,1.28E+12,0,29,1,30
196,"Union Street, The Borough",961,51.50368837,-0.098497684,TRUE,FALSE,1.28E+12,0,9,6,17
197,"Stamford Street, South Bank",962,51.50556905,-0.111606696,TRUE,FALSE,1.28E+12,0,4,22,27
202,"Leman Street, Aldgate",1102,51.51236389,-0.06954201,TRUE,FALSE,1.28E+12,0,14,23,37
201,"Dorset Square, Marylebone",1162,51.5225965,-0.161113413,TRUE,FALSE,1.28E+12,0,1,15,16
208,"Mallory Street, Marylebone",1175,51.52505151,-0.166304359,TRUE,FALSE,1.28E+12,0,1,19,20
205,"New Road  2, Whitechapel",3475,51.518144,-0.06275,TRUE,FALSE,1.28E+12,0,12,24,36
206,"New Road 1 , Whitechapel",1171,51.518154,-0.062697,TRUE,FALSE,1.28E+12,0,23,13,37
204,"Margery Street, Clerkenwell",3468,51.52659961,-0.112432615,TRUE,FALSE,1.28E+12,0,8,10,19
207,"Grosvenor Crescent, Belgravia",1169,51.50135267,-0.153194766,TRUE,FALSE,1.28E+12,0,18,0,18
210,"Hinde Street, Marylebone",3476,51.51681444,-0.151926305,TRUE,FALSE,1.28E+12,1,3,17,21
221,"Horseferry Road, Westminster",1170,51.49481649,-0.13045856,TRUE,FALSE,1.28E+12,0,11,4,16
211,"Cadogan Place, Knightsbridge",3469,51.49464523,-0.158105512,TRUE,FALSE,1.28E+12,0,33,1,34
212,"Campden Hill Road, Notting Hill",3487,51.50658458,-0.199004026,TRUE,FALSE,1.28E+12,0,1,15,17
213,"Wellington Arch, Hyde Park",1109,51.50274025,-0.149569201,TRUE,FALSE,1.28E+12,0,7,29,36
